search,title,card_name,condition,price,shipping,total_price,mkt_price,cond_price,value_score,cond_value,bid_count,time_listed,time_left,buy_it_now,best_offer,url
TR-H,Pokemon - DARK GYARADOS 8/82 - Team Rocket - Holo - NM,Dark Gyarados,NM,19.89,,19.89,23.66,18.92800000000000105071507051,15.93406593406593406593406593,-5.082417582417576584336443392,,2021-10-19 19:02:00,,,,https://www.ebay.com/itm/234245307082?hash=item368a1bbaca:g:pZIAAOSwrhNhb1yN
B2-H,Pokemon Base Set 2 Blastoise 2/130 Holo Rare MP,Blastoise,MP,50.00,,50.00,99.96,59.97599999999999778044212917,49.97999199679871948779511805,16.63331999466452939447160913,,2021-10-19 19:00:00,,,,https://www.ebay.com/itm/294477917298?hash=item4490406c72:g:BHcAAOSwkUFhb1rt
B2-H,Pokemon Base Set 2 Blastoise 2/130 Holo Rare MP,Blastoise,MP,50.00,,50.00,99.96,59.97599999999999778044212917,49.97999199679871948779511805,16.63331999466452939447160913,,2021-10-19 19:00:00,,,,https://www.ebay.com/itm/294477917298?hash=item4490406c72&_trkparms=ispr%3D1&amdata=enc%3AAQAGAAADwEEwxX2DoDl8l0aemOokJAdSp5kQg1Dt9gxGwgs7cEGmu2PW%252BRrtfC%252F6f%252F%252BBmJIkho5HetRet2bLZDfQfIgSzM8lLvww%252F%252B%252F8b9BeKOfwf2qOGJfLitnh879O%252FrJtyhfAf1o3d7ujW1JoGJFOlaxrBMw38wRhOlKkS%252FM%252FWCtshhjZ%252FQwjacCJrKo4xERiLnr7UxZferE%252FGDCKNlXauN6K2kxHXrNTbZquQby3pQdKIpRqdVrlwiDJdKNreEHMjkMqFtYgEiXJL2lPKc6YptuFus2ZBRmxQkWXVk%252BKs5zoSS74rjCiQipSPoLZ4NzrC9RL23W%252FnHDIHXhQLYD9KdkUyPKXCgZVHHHpbBUkD%252BPZtGjNfGP6GdTaGe1UAC4d1z7trN5BdRY%252FnRfuB2C3BXIep0qaAQIOpVBRvsERYGIqfGGt%252BBSmXFBXr%252FyPqoWuBOr2dLLMZLWgFy8OPfygaIu9rSV6G6YUpR4JzGaR64OP9H1Wkghvn1jKQpUzYDUbaWS5Fr8wlhlsFBIholVj6%252BcW2kDPoJ5GB5bij31yD%252FlhwDo9gdg%252BQpe5DgNqYTb8tu9AxIB55rxzcIFgkxrUk%252FSF7RFhXzovEjej7sBXqDzRzFD%252B9EuwFbhPRBCFyNx0SfYmNcRVZVj8fZPpgACT%252BBMEfjtFwwBpskuOkfwsVDttxF7bR6bTK51tKdXQ0HocQhQbTzdJTk7K9MQ1OtAkqVnDY88l6dRDnSkPZ8LtYdf80sAsRZmknrOcHBGl78SUeR1HuKOtjMih0%252F8GecpAGA66DGmVTVoLVOc1Ktc%252BIuuQLVKujPKwh34PuL7nMslhwtgG8s46XfoRgCl60ehEp1lxVmEFq3sSl9twBbQ%252BDHQFA6hYN1NHiPmjUmFbZohzV93cz09V2m1r3bzMkt0%252FRAIIQcB0WN0gPP%252B9HL%252F%252B6G%252FucD9Oon9XIv1plfIljMr%252B%252FWgcZVRuzVW%252B61aOvJzneSiGZE88MaYDOVQ52gbTrsg7m%252BMonpudkcxRHWCuDbhOlZ1%252FkPWsOxcJjeKzU2mMFHWmBzX1vz1s79QF8%252FXSoZ0X%252BlR2Z05cFLR6P%252BFA3Jt1UfcT7PF5ntmf%252B21QvWpDS%252B2ILQuNAVn5LH8sTWF%252FQhQXPyIS5B4dbotWHCzlKHn7ygttFA1vZP7cfjJalNmxW4hcreFGkAvteEAN7dF8V%252BkjIuhbSiz3tGJC5drr4p7dvjjWd0opJ7svFc1EictvmJKSgy5OI2pSgBfV9ajmVPPgxpFk5R6lDyLVKpkRJiffyQyTVw%253D%253D%7Campid%3APL_CLK
N1-H,Meganium 11/111 HOLO Neo Genesis Pokemon Card PL,Meganium,,25.00,,25.00,44.88,17.95200000000000099653618690,44.29590017825311942959001783,-39.26024955436719369552818195,,2021-10-19 18:47:00,,,,https://www.ebay.com/itm/203658291753?hash=item2f6afaea29:g:N9UAAOSwx15hb1i~
B2-H,Pokemon TCG Pidgeot HOLO Rare #14/130 Base Set 2 LP,Pidgeot,LP,12.99,4.45,17.44,21.29,14.90299999999999905453407223,18.08360732738374823860967590,-17.02341810373750994039150294,,2021-10-19 18:37:00,,,,https://www.ebay.com/itm/313718099625?hash=item490b0e4ea9:g:udIAAOSwaHdhb1aH
TR-R,Dark Dragonite Rare - 22/82 Unlimited Team Rocket PL,Dark Dragonite,,7.49,,7.49,11.02,4.408000000000000244693154627,32.03266787658802177858439201,-69.91833030852993612117688926,,2021-10-19 18:21:00,,,,https://www.ebay.com/itm/144254476167?hash=item21963c9f87:g:O8wAAOSwlpRhb1LL
N3-H,Houndoom Holo Rare - 8/64 Unlimited Neo Revelation NM,Houndoom,NM,64.99,,64.99,76.45,61.16000000000000339506200930,14.99018966644865925441465010,-6.262262916939170033241140426,,2021-10-19 18:18:00,,,,https://www.ebay.com/itm/144254472082?hash=item21963c8f92:g:koIAAOSwIwVhbOpz
GC-H,Giovanni's Gyarados 5/132 Gym Challenge Holo Rare Vintage Pokemon Card,Giovanni's Gyarados,,49.99,,49.99,56.36,22.54400000000000125144339336,11.30234208658623136976579134,-121.7441447835344092663127659,,2021-10-19 18:17:00,,,,https://www.ebay.com/itm/174985370583?hash=item28bdf0dbd7:g:BL8AAOSwyllhb1Fu
N3-H,Magneton Holo Rare - 10/64 Unlimited Neo Revelation LP,Magneton,LP,12.49,,12.49,22.41,15.68699999999999900479608073,44.26595269968763944667559125,20.37993242812519415833471664,,2021-10-19 18:17:00,,,,https://www.ebay.com/itm/144254471246?hash=item21963c8c4e:g:hykAAOSw1LNhbJQC
B2-H,Pidgeot Holo Rare - 14/130 Base Set 2 NM,Pidgeot,NM,14.99,,14.99,21.29,17.03200000000000094546592777,29.59135744480976984499765148,11.98919680601221719182807043,,2021-10-19 18:17:00,,,,https://www.ebay.com/itm/144254471279?hash=item21963c8c6f:g:iV4AAOSwey5hbOtS
